danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.682,0.93,11,-4.036,0,0.0846,0.000125,0.0123,0.0481,0.46,127.867,audio_features,0TBaFEx7WENZgqLXWErD0b,spotify:track:0TBaFEx7WENZgqLXWErD0b,https://api.spotify.com/v1/tracks/0TBaFEx7WENZgqLXWErD0b,https://api.spotify.com/v1/audio-analysis/0TBaFEx7WENZgqLXWErD0b,219947,4,electro
0.723,0.806,0,-4.989,1,0.0521,0.00666,0.876,0.276,0.539,124.976,audio_features,0VffaI2jwQknRrxpECYHsF,spotify:track:0VffaI2jwQknRrxpECYHsF,https://api.spotify.com/v1/tracks/0VffaI2jwQknRrxpECYHsF,https://api.spotify.com/v1/audio-analysis/0VffaI2jwQknRrxpECYHsF,410097,4,electro
0.569,0.795,10,-8.537,0,0.0638,0.0239,0.0491,0.0414,0.332,128.036,audio_features,0ZaW2N7eBooCkiOFDc3xmJ,spotify:track:0ZaW2N7eBooCkiOFDc3xmJ,https://api.spotify.com/v1/tracks/0ZaW2N7eBooCkiOFDc3xmJ,https://api.spotify.com/v1/audio-analysis/0ZaW2N7eBooCkiOFDc3xmJ,423000,4,electro
0.606,0.975,7,-3.865,1,0.0393,0.00152,0.497,0.0931,0.187,128.023,audio_features,0bOGPorRUxCdJtCodwQbU1,spotify:track:0bOGPorRUxCdJtCodwQbU1,https://api.spotify.com/v1/tracks/0bOGPorRUxCdJtCodwQbU1,https://api.spotify.com/v1/audio-analysis/0bOGPorRUxCdJtCodwQbU1,277500,4,electro
0.59,0.67,1,-10.991,1,0.0296,2.92e-05,0.878,0.102,0.436,138.007,audio_features,0bTZ9gbU9KqDkraPKoQM6I,spotify:track:0bTZ9gbU9KqDkraPKoQM6I,https://api.spotify.com/v1/tracks/0bTZ9gbU9KqDkraPKoQM6I,https://api.spotify.com/v1/audio-analysis/0bTZ9gbU9KqDkraPKoQM6I,488133,4,electro
0.792,0.688,0,-4.008,1,0.0386,0.00435,0.00477,0.0972,0.502,124.987,audio_features,0dbQ4h3cs8QE5fOPMYdDrX,spotify:track:0dbQ4h3cs8QE5fOPMYdDrX,https://api.spotify.com/v1/tracks/0dbQ4h3cs8QE5fOPMYdDrX,https://api.spotify.com/v1/audio-analysis/0dbQ4h3cs8QE5fOPMYdDrX,159560,4,electro
0.695,0.95,1,-7.697,1,0.0467,0.00257,0.442,0.285,0.919,134.093,audio_features,0nooPsOIYnvioZ152r69j7,spotify:track:0nooPsOIYnvioZ152r69j7,https://api.spotify.com/v1/tracks/0nooPsOIYnvioZ152r69j7,https://api.spotify.com/v1/audio-analysis/0nooPsOIYnvioZ152r69j7,329360,4,electro
0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,audio_features,0oks4FnzhNp5QPTZtoet7c,spotify:track:0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/tracks/0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/audio-analysis/0oks4FnzhNp5QPTZtoet7c,544627,4,electro
0.474,0.88,1,-10.189,1,0.0328,0.0015,0.0712,0.507,0.371,135.013,audio_features,0pfJH3eRkM4t9wlg6LwuTU,spotify:track:0pfJH3eRkM4t9wlg6LwuTU,https://api.spotify.com/v1/tracks/0pfJH3eRkM4t9wlg6LwuTU,https://api.spotify.com/v1/audio-analysis/0pfJH3eRkM4t9wlg6LwuTU,189816,4,electro
0.596,0.727,3,-7.071,1,0.0597,0.00506,0.16,0.0847,0.235,125.968,audio_features,0qTw7kEFpNdECY7jRCg54v,spotify:track:0qTw7kEFpNdECY7jRCg54v,https://api.spotify.com/v1/tracks/0qTw7kEFpNdECY7jRCg54v,https://api.spotify.com/v1/audio-analysis/0qTw7kEFpNdECY7jRCg54v,357507,4,electro
