danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.805,0.801,7,-5.683,0,0.279,0.0329,0.0,0.0603,0.816,92.638,audio_features,0FzxHygj55RdtuNhmSyGe5,spotify:track:0FzxHygj55RdtuNhmSyGe5,https://api.spotify.com/v1/tracks/0FzxHygj55RdtuNhmSyGe5,https://api.spotify.com/v1/audio-analysis/0FzxHygj55RdtuNhmSyGe5,176267,4,rap
0.817,0.844,6,-1.762,1,0.309,0.0597,0.0,0.068,0.794,91.523,audio_features,0GltMgspY6OkEm4bBgsn8Z,spotify:track:0GltMgspY6OkEm4bBgsn8Z,https://api.spotify.com/v1/tracks/0GltMgspY6OkEm4bBgsn8Z,https://api.spotify.com/v1/audio-analysis/0GltMgspY6OkEm4bBgsn8Z,255667,4,rap
0.843,0.805,4,-5.946,0,0.269,0.142,0.0,0.0771,0.615,94.946,audio_features,0I3q5fE6wg7LIfHGngUTnV,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,270507,4,rap
0.782,0.589,1,-4.827,1,0.189,0.148,0.0,0.164,0.869,90.438,audio_features,0IVAlb0cFCH1cQ974iR1TU,spotify:track:0IVAlb0cFCH1cQ974iR1TU,https://api.spotify.com/v1/tracks/0IVAlb0cFCH1cQ974iR1TU,https://api.spotify.com/v1/audio-analysis/0IVAlb0cFCH1cQ974iR1TU,223547,4,rap
0.793,0.907,1,-7.461,1,0.182,0.0231,0.00738,0.0798,0.826,115.634,audio_features,0InwTyum9iasoG9ajmJWg7,spotify:track:0InwTyum9iasoG9ajmJWg7,https://api.spotify.com/v1/tracks/0InwTyum9iasoG9ajmJWg7,https://api.spotify.com/v1/audio-analysis/0InwTyum9iasoG9ajmJWg7,238827,4,rap
0.721,0.723,4,-4.429,0,0.239,0.0101,0.00108,0.4,0.542,94.744,audio_features,0JyfYLKuXRmPhMkIPVstu5,spotify:track:0JyfYLKuXRmPhMkIPVstu5,https://api.spotify.com/v1/tracks/0JyfYLKuXRmPhMkIPVstu5,https://api.spotify.com/v1/audio-analysis/0JyfYLKuXRmPhMkIPVstu5,221427,4,rap
0.934,0.562,4,-4.609,0,0.24,0.0476,1.31e-06,0.0608,0.712,96.792,audio_features,0KbIwqCAHmXWu7hrszXY6j,spotify:track:0KbIwqCAHmXWu7hrszXY6j,https://api.spotify.com/v1/tracks/0KbIwqCAHmXWu7hrszXY6j,https://api.spotify.com/v1/audio-analysis/0KbIwqCAHmXWu7hrszXY6j,209413,4,rap
0.523,0.98,7,-3.741,0,0.377,0.0207,0.0,0.296,0.43,96.055,audio_features,0LiDe1FWn36jmYkzzKXna1,spotify:track:0LiDe1FWn36jmYkzzKXna1,https://api.spotify.com/v1/tracks/0LiDe1FWn36jmYkzzKXna1,https://api.spotify.com/v1/audio-analysis/0LiDe1FWn36jmYkzzKXna1,235364,4,rap
0.852,0.604,0,-4.569,1,0.0642,0.0503,0.0,0.327,0.667,94.762,audio_features,0OaunKfsxkgBvPv68jBbmm,spotify:track:0OaunKfsxkgBvPv68jBbmm,https://api.spotify.com/v1/tracks/0OaunKfsxkgBvPv68jBbmm,https://api.spotify.com/v1/audio-analysis/0OaunKfsxkgBvPv68jBbmm,227547,4,rap
0.832,0.641,6,-7.305,1,0.224,0.0476,0.0,0.361,0.376,95.029,audio_features,0P3EQ9RB7Q62ZmiqTOB1jq,spotify:track:0P3EQ9RB7Q62ZmiqTOB1jq,https://api.spotify.com/v1/tracks/0P3EQ9RB7Q62ZmiqTOB1jq,https://api.spotify.com/v1/audio-analysis/0P3EQ9RB7Q62ZmiqTOB1jq,251453,4,rap
