danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.346,0.276,5,-14.325,1,0.0335,0.938,0.812,0.201,0.334,136.611,audio_features,0W8JzTLN01jnqK9hko4Ck0,spotify:track:0W8JzTLN01jnqK9hko4Ck0,https://api.spotify.com/v1/tracks/0W8JzTLN01jnqK9hko4Ck0,https://api.spotify.com/v1/audio-analysis/0W8JzTLN01jnqK9hko4Ck0,417040,4,classical
0.348,0.471,10,-12.344,1,0.0319,0.957,0.896,0.156,0.877,174.359,audio_features,0YMMbBS4OaZHZB4fkd3e1Y,spotify:track:0YMMbBS4OaZHZB4fkd3e1Y,https://api.spotify.com/v1/tracks/0YMMbBS4OaZHZB4fkd3e1Y,https://api.spotify.com/v1/audio-analysis/0YMMbBS4OaZHZB4fkd3e1Y,214640,4,classical
0.477,0.101,9,-21.98,1,0.0544,0.987,0.888,0.0776,0.114,137.066,audio_features,0Z1RPYvglXvrGetJpfoT3M,spotify:track:0Z1RPYvglXvrGetJpfoT3M,https://api.spotify.com/v1/tracks/0Z1RPYvglXvrGetJpfoT3M,https://api.spotify.com/v1/audio-analysis/0Z1RPYvglXvrGetJpfoT3M,578971,4,classical
0.379,0.41,9,-14.768,1,0.0408,0.833,0.555,0.0644,0.72,78.519,audio_features,0a5pOZyrvDm0XpPc2sP1dI,spotify:track:0a5pOZyrvDm0XpPc2sP1dI,https://api.spotify.com/v1/tracks/0a5pOZyrvDm0XpPc2sP1dI,https://api.spotify.com/v1/audio-analysis/0a5pOZyrvDm0XpPc2sP1dI,177333,4,classical
0.331,0.238,6,-16.609,1,0.0448,0.987,0.898,0.115,0.184,88.084,audio_features,0aA14tRZAkMfyMg52X49Rk,spotify:track:0aA14tRZAkMfyMg52X49Rk,https://api.spotify.com/v1/tracks/0aA14tRZAkMfyMg52X49Rk,https://api.spotify.com/v1/audio-analysis/0aA14tRZAkMfyMg52X49Rk,366232,4,classical
0.319,0.373,2,-19.426,1,0.237,0.858,0.604,0.721,0.515,139.181,audio_features,0cPBzFFhZyeUpItYWzs0rE,spotify:track:0cPBzFFhZyeUpItYWzs0rE,https://api.spotify.com/v1/tracks/0cPBzFFhZyeUpItYWzs0rE,https://api.spotify.com/v1/audio-analysis/0cPBzFFhZyeUpItYWzs0rE,265353,4,classical
0.355,0.207,10,-18.406,1,0.0434,0.922,0.841,0.121,0.236,139.236,audio_features,0d4v4RqE2aIbZpewXIdyse,spotify:track:0d4v4RqE2aIbZpewXIdyse,https://api.spotify.com/v1/tracks/0d4v4RqE2aIbZpewXIdyse,https://api.spotify.com/v1/audio-analysis/0d4v4RqE2aIbZpewXIdyse,220920,4,classical
0.476,0.186,6,-25.136,1,0.0588,0.983,0.879,0.136,0.196,103.92,audio_features,0eVxixYBrhawjriI1Qzoge,spotify:track:0eVxixYBrhawjriI1Qzoge,https://api.spotify.com/v1/tracks/0eVxixYBrhawjriI1Qzoge,https://api.spotify.com/v1/audio-analysis/0eVxixYBrhawjriI1Qzoge,67573,4,classical
0.497,0.063,7,-26.654,1,0.0499,0.988,0.852,0.157,0.404,124.006,audio_features,0g1k29rXTj3JiRkLiQXYiX,spotify:track:0g1k29rXTj3JiRkLiQXYiX,https://api.spotify.com/v1/tracks/0g1k29rXTj3JiRkLiQXYiX,https://api.spotify.com/v1/audio-analysis/0g1k29rXTj3JiRkLiQXYiX,276630,4,classical
0.16,0.0754,7,-23.815,1,0.0478,0.962,0.882,0.116,0.1,135.807,audio_features,0g2naD7yms4MBvh7jpdf7w,spotify:track:0g2naD7yms4MBvh7jpdf7w,https://api.spotify.com/v1/tracks/0g2naD7yms4MBvh7jpdf7w,https://api.spotify.com/v1/audio-analysis/0g2naD7yms4MBvh7jpdf7w,208467,4,classical
0.34,0.152,5,-19.663,1,0.0566,0.909,0.826,0.0838,0.299,153.061,audio_features,0gRuXEQirSNw9KazC2FjIP,spotify:track:0gRuXEQirSNw9KazC2FjIP,https://api.spotify.com/v1/tracks/0gRuXEQirSNw9KazC2FjIP,https://api.spotify.com/v1/audio-analysis/0gRuXEQirSNw9KazC2FjIP,508213,4,classical
0.332,0.0849,4,-21.453,0,0.058,0.991,0.852,0.134,0.0891,67.151,audio_features,0gwACQhCKgkHcaft7AzcPR,spotify:track:0gwACQhCKgkHcaft7AzcPR,https://api.spotify.com/v1/tracks/0gwACQhCKgkHcaft7AzcPR,https://api.spotify.com/v1/audio-analysis/0gwACQhCKgkHcaft7AzcPR,831978,3,classical
0.274,0.382,2,-20.852,0,0.071,0.875,0.854,0.617,0.156,155.287,audio_features,0ifcvkm1OV6cgUOk95KRgH,spotify:track:0ifcvkm1OV6cgUOk95KRgH,https://api.spotify.com/v1/tracks/0ifcvkm1OV6cgUOk95KRgH,https://api.spotify.com/v1/audio-analysis/0ifcvkm1OV6cgUOk95KRgH,195227,4,classical
0.353,0.523,2,-10.721,1,0.0592,0.0274,0.658,0.668,0.201,118.172,audio_features,0kCaxaL8I2R0W5SpiituH4,spotify:track:0kCaxaL8I2R0W5SpiituH4,https://api.spotify.com/v1/tracks/0kCaxaL8I2R0W5SpiituH4,https://api.spotify.com/v1/audio-analysis/0kCaxaL8I2R0W5SpiituH4,22819,5,classical
0.426,0.137,0,-18.699,1,0.0451,0.982,0.926,0.0863,0.314,121.434,audio_features,0nK3DeuJ6gMqwaVBeFIrk2,spotify:track:0nK3DeuJ6gMqwaVBeFIrk2,https://api.spotify.com/v1/tracks/0nK3DeuJ6gMqwaVBeFIrk2,https://api.spotify.com/v1/audio-analysis/0nK3DeuJ6gMqwaVBeFIrk2,445227,4,classical
0.403,0.391,0,-16.275,1,0.0408,0.838,0.975,0.133,0.859,91.206,audio_features,0pBFsE8omgZRLcdGE8J7nN,spotify:track:0pBFsE8omgZRLcdGE8J7nN,https://api.spotify.com/v1/tracks/0pBFsE8omgZRLcdGE8J7nN,https://api.spotify.com/v1/audio-analysis/0pBFsE8omgZRLcdGE8J7nN,76013,4,classical
0.596,0.46,9,-11.666,1,0.0309,0.361,0.324,0.0542,0.742,83.025,audio_features,0pMkNleRk8eFlHZJqIox23,spotify:track:0pMkNleRk8eFlHZJqIox23,https://api.spotify.com/v1/tracks/0pMkNleRk8eFlHZJqIox23,https://api.spotify.com/v1/audio-analysis/0pMkNleRk8eFlHZJqIox23,116240,4,classical
0.439,0.251,10,-17.882,1,0.032,0.917,0.925,0.0814,0.373,144.235,audio_features,0qqYRB2WRhZDEjAgIx2CBc,spotify:track:0qqYRB2WRhZDEjAgIx2CBc,https://api.spotify.com/v1/tracks/0qqYRB2WRhZDEjAgIx2CBc,https://api.spotify.com/v1/audio-analysis/0qqYRB2WRhZDEjAgIx2CBc,446667,4,classical
0.237,0.205,8,-22.028,0,0.0372,0.968,0.825,0.0801,0.418,82.529,audio_features,0rItp5uREtdlF6aLyKs74F,spotify:track:0rItp5uREtdlF6aLyKs74F,https://api.spotify.com/v1/tracks/0rItp5uREtdlF6aLyKs74F,https://api.spotify.com/v1/audio-analysis/0rItp5uREtdlF6aLyKs74F,294430,3,classical
0.578,0.261,10,-17.806,1,0.0545,0.662,0.0,0.0757,0.202,127.968,audio_features,0taioVuY6B5NsjKHr1oXlO,spotify:track:0taioVuY6B5NsjKHr1oXlO,https://api.spotify.com/v1/tracks/0taioVuY6B5NsjKHr1oXlO,https://api.spotify.com/v1/audio-analysis/0taioVuY6B5NsjKHr1oXlO,97627,4,classical
0.466,0.218,3,-21.354,1,0.0355,0.992,0.84,0.102,0.287,104.732,audio_features,0tr18PiErqEi9e1PbuUhZR,spotify:track:0tr18PiErqEi9e1PbuUhZR,https://api.spotify.com/v1/tracks/0tr18PiErqEi9e1PbuUhZR,https://api.spotify.com/v1/audio-analysis/0tr18PiErqEi9e1PbuUhZR,112467,1,classical
0.35,0.169,0,-22.365,1,0.0449,0.891,0.445,0.268,0.141,134.0,audio_features,0uZkUxHaoNSzs9NKQc4o4J,spotify:track:0uZkUxHaoNSzs9NKQc4o4J,https://api.spotify.com/v1/tracks/0uZkUxHaoNSzs9NKQc4o4J,https://api.spotify.com/v1/audio-analysis/0uZkUxHaoNSzs9NKQc4o4J,469240,4,classical
0.289,0.0601,10,-23.665,1,0.0341,0.951,0.000161,0.252,0.265,104.657,audio_features,0vZy2pO9OZL20f4vmsU0jQ,spotify:track:0vZy2pO9OZL20f4vmsU0jQ,https://api.spotify.com/v1/tracks/0vZy2pO9OZL20f4vmsU0jQ,https://api.spotify.com/v1/audio-analysis/0vZy2pO9OZL20f4vmsU0jQ,311520,4,classical
0.418,0.139,1,-29.157,1,0.056,0.994,0.923,0.172,0.449,101.636,audio_features,0wpBNG0LL5rIg2DbQDoGXy,spotify:track:0wpBNG0LL5rIg2DbQDoGXy,https://api.spotify.com/v1/tracks/0wpBNG0LL5rIg2DbQDoGXy,https://api.spotify.com/v1/audio-analysis/0wpBNG0LL5rIg2DbQDoGXy,68560,4,classical
0.324,0.254,0,-15.836,0,0.0412,0.792,0.812,0.217,0.182,94.746,audio_features,0ybOhEWzVs8Df9uBvSiLlP,spotify:track:0ybOhEWzVs8Df9uBvSiLlP,https://api.spotify.com/v1/tracks/0ybOhEWzVs8Df9uBvSiLlP,https://api.spotify.com/v1/audio-analysis/0ybOhEWzVs8Df9uBvSiLlP,455893,4,classical
0.387,0.28,7,-15.09,1,0.0394,0.869,0.343,0.666,0.439,137.794,audio_features,101ft1qIZAfCbEcwdzp2ab,spotify:track:101ft1qIZAfCbEcwdzp2ab,https://api.spotify.com/v1/tracks/101ft1qIZAfCbEcwdzp2ab,https://api.spotify.com/v1/audio-analysis/101ft1qIZAfCbEcwdzp2ab,160133,4,classical
0.514,0.821,7,-6.246,1,0.0392,0.641,0.851,0.309,0.947,74.989,audio_features,12RubdpEu4GxA2BcG9Yvk9,spotify:track:12RubdpEu4GxA2BcG9Yvk9,https://api.spotify.com/v1/tracks/12RubdpEu4GxA2BcG9Yvk9,https://api.spotify.com/v1/audio-analysis/12RubdpEu4GxA2BcG9Yvk9,227256,4,classical
0.211,0.0292,7,-17.376,1,0.0407,0.943,0.875,0.119,0.0782,118.936,audio_features,14yZYtESiMtVIZQjcMuLCK,spotify:track:14yZYtESiMtVIZQjcMuLCK,https://api.spotify.com/v1/tracks/14yZYtESiMtVIZQjcMuLCK,https://api.spotify.com/v1/audio-analysis/14yZYtESiMtVIZQjcMuLCK,846000,3,classical
0.229,0.266,0,-13.969,1,0.0464,0.945,0.919,0.095,0.179,75.13,audio_features,153azMVIwAmnyV3pnBZ6oF,spotify:track:153azMVIwAmnyV3pnBZ6oF,https://api.spotify.com/v1/tracks/153azMVIwAmnyV3pnBZ6oF,https://api.spotify.com/v1/audio-analysis/153azMVIwAmnyV3pnBZ6oF,479160,4,classical
0.544,0.282,10,-17.537,1,0.0369,0.903,0.94,0.35,0.605,115.608,audio_features,15dvJvXzsGyv2dNueEzyFk,spotify:track:15dvJvXzsGyv2dNueEzyFk,https://api.spotify.com/v1/tracks/15dvJvXzsGyv2dNueEzyFk,https://api.spotify.com/v1/audio-analysis/15dvJvXzsGyv2dNueEzyFk,193307,4,classical
0.382,0.438,8,-11.466,1,0.0332,0.84,0.824,0.0581,0.608,97.692,audio_features,16uwxbN9F1gSmc42EpLE6C,spotify:track:16uwxbN9F1gSmc42EpLE6C,https://api.spotify.com/v1/tracks/16uwxbN9F1gSmc42EpLE6C,https://api.spotify.com/v1/audio-analysis/16uwxbN9F1gSmc42EpLE6C,93520,4,classical
0.367,0.213,0,-19.354,0,0.036,0.987,0.889,0.121,0.114,106.035,audio_features,17aUPlQ175ssLa191VMSL9,spotify:track:17aUPlQ175ssLa191VMSL9,https://api.spotify.com/v1/tracks/17aUPlQ175ssLa191VMSL9,https://api.spotify.com/v1/audio-analysis/17aUPlQ175ssLa191VMSL9,82493,4,classical
0.327,0.258,7,-18.505,0,0.0497,0.786,0.76,0.332,0.372,134.906,audio_features,180bTZJt8X3y0rufMsQZjK,spotify:track:180bTZJt8X3y0rufMsQZjK,https://api.spotify.com/v1/tracks/180bTZJt8X3y0rufMsQZjK,https://api.spotify.com/v1/audio-analysis/180bTZJt8X3y0rufMsQZjK,262493,4,classical
0.273,0.0577,10,-24.289,1,0.0376,0.952,0.878,0.249,0.216,106.83,audio_features,18PZEyLjYDdOqwgOfnu7yu,spotify:track:18PZEyLjYDdOqwgOfnu7yu,https://api.spotify.com/v1/tracks/18PZEyLjYDdOqwgOfnu7yu,https://api.spotify.com/v1/audio-analysis/18PZEyLjYDdOqwgOfnu7yu,341798,3,classical
0.341,0.186,3,-19.98,1,0.046,0.989,0.894,0.107,0.135,70.16,audio_features,1AUYuQps1SvaVDaQNCIJyD,spotify:track:1AUYuQps1SvaVDaQNCIJyD,https://api.spotify.com/v1/tracks/1AUYuQps1SvaVDaQNCIJyD,https://api.spotify.com/v1/audio-analysis/1AUYuQps1SvaVDaQNCIJyD,612120,4,classical
0.401,0.176,4,-17.874,1,0.0521,0.902,0.809,0.112,0.345,91.485,audio_features,1BAlQ9yZMF2WvS6Dx2EQLj,spotify:track:1BAlQ9yZMF2WvS6Dx2EQLj,https://api.spotify.com/v1/tracks/1BAlQ9yZMF2WvS6Dx2EQLj,https://api.spotify.com/v1/audio-analysis/1BAlQ9yZMF2WvS6Dx2EQLj,447507,4,classical
0.458,0.0991,10,-27.205,1,0.0347,0.991,0.897,0.114,0.864,105.085,audio_features,1E8PEId3ucRxntBNwOqI36,spotify:track:1E8PEId3ucRxntBNwOqI36,https://api.spotify.com/v1/tracks/1E8PEId3ucRxntBNwOqI36,https://api.spotify.com/v1/audio-analysis/1E8PEId3ucRxntBNwOqI36,175060,4,classical
